,Building ID,Market,profit
648,Bldg-116618,Denver,224.41
667,Bldg-116651,Denver,224.41
657,Bldg-116632,Denver,224.41
768,Bldg-119934,Denver,224.51
694,Bldg-116708,Denver,224.51
709,Bldg-116750,Denver,224.51
669,Bldg-116653,Denver,224.51
524,Bldg-115659,Atlanta,224.51
712,Bldg-116754,Denver,224.51
664,Bldg-116645,Denver,224.51
554,Bldg-116452,Dallas,224.51
478,Bldg-115575,Atlanta,224.51
210,Bldg-061652,Atlanta,224.51
494,Bldg-115599,Atlanta,224.51
495,Bldg-115600,Atlanta,224.51
658,Bldg-116635,Denver,224.51
623,Bldg-116572,Dallas,224.51
653,Bldg-116626,Denver,224.51
487,Bldg-115589,Atlanta,224.62
291,Bldg-081145,Denver,224.62
850,Bldg-132275,Denver,224.62
592,Bldg-116518,Dallas,224.62
590,Bldg-116516,Dallas,224.62
585,Bldg-116502,Dallas,224.62
64,Bldg-038070,Atlanta,224.62
534,Bldg-115678,Atlanta,224.62
483,Bldg-115584,Atlanta,224.62
522,Bldg-115655,Atlanta,224.62
655,Bldg-116629,Denver,224.62
857,Bldg-132294,Denver,224.62
566,Bldg-116467,Dallas,224.62
469,Bldg-115561,Atlanta,224.62
883,Bldg-134080,Denver,224.62
633,Bldg-116591,Denver,224.62
212,Bldg-061686,Atlanta,224.62
481,Bldg-115581,Atlanta,224.62
308,Bldg-086574,Atlanta,224.62
498,Bldg-115609,Atlanta,224.62
488,Bldg-115590,Atlanta,224.62
691,Bldg-116704,Denver,224.62
300,Bldg-081988,Atlanta,224.62
493,Bldg-115598,Atlanta,224.62
389,Bldg-109251,Denver,224.62
601,Bldg-116537,Dallas,224.62
618,Bldg-116565,Dallas,224.62
605,Bldg-116542,Dallas,224.62
394,Bldg-109700,Atlanta,224.62
600,Bldg-116535,Dallas,224.62
680,Bldg-116678,Denver,224.62
679,Bldg-116677,Denver,224.62
665,Bldg-116648,Denver,224.67
637,Bldg-116597,Denver,224.67
213,Bldg-061689,Atlanta,224.71
496,Bldg-115602,Atlanta,224.71
572,Bldg-116486,Dallas,224.71
459,Bldg-115443,Denver,224.71
344,Bldg-098524,Dallas,224.71
692,Bldg-116706,Denver,225.59
661,Bldg-116638,Denver,225.59
650,Bldg-116620,Denver,225.59
651,Bldg-116621,Denver,225.59
707,Bldg-116743,Denver,225.59
452,Bldg-114971,Denver,225.59
676,Bldg-116672,Denver,225.59
503,Bldg-115617,Atlanta,225.59
586,Bldg-116504,Dallas,225.62
839,Bldg-131563,Atlanta,225.62
864,Bldg-132328,Dallas,225.62
560,Bldg-116458,Dallas,225.62
349,Bldg-101781,Atlanta,225.62
477,Bldg-115574,Atlanta,225.62
448,Bldg-114355,Atlanta,225.62
211,Bldg-061657,Atlanta,225.62
345,Bldg-099874,Dallas,225.62
556,Bldg-116454,Dallas,225.62
703,Bldg-116735,Denver,225.77
596,Bldg-116526,Dallas,225.83
594,Bldg-116523,Dallas,225.83
593,Bldg-116522,Dallas,225.83
555,Bldg-116453,Dallas,225.83
397,Bldg-109813,Dallas,226.0
587,Bldg-116509,Dallas,226.0
584,Bldg-116501,Dallas,226.0
625,Bldg-116574,Dallas,226.0
604,Bldg-116541,Dallas,226.0
558,Bldg-116456,Dallas,226.0
632,Bldg-116587,Dallas,226.0
606,Bldg-116543,Dallas,226.0
610,Bldg-116548,Dallas,226.0
609,Bldg-116547,Dallas,226.0
607,Bldg-116544,Dallas,226.0
357,Bldg-105792,Dallas,226.0
547,Bldg-116429,Dallas,226.34
545,Bldg-116424,Dallas,226.34
567,Bldg-116472,Dallas,226.34
565,Bldg-116466,Dallas,226.34
501,Bldg-115615,Atlanta,226.42
530,Bldg-115670,Atlanta,226.42
486,Bldg-115588,Atlanta,226.42
520,Bldg-115651,Atlanta,226.42
512,Bldg-115634,Atlanta,226.42
511,Bldg-115633,Atlanta,226.42
290,Bldg-080556,Atlanta,226.42
450,Bldg-114723,Atlanta,226.42
518,Bldg-115648,Atlanta,226.42
456,Bldg-115319,Denver,226.88
852,Bldg-132284,Denver,226.89
652,Bldg-116624,Denver,226.89
418,Bldg-111204,Denver,226.89
686,Bldg-116690,Denver,226.89
688,Bldg-116693,Denver,226.89
715,Bldg-117059,Denver,226.89
697,Bldg-116714,Denver,226.89
352,Bldg-103565,Dallas,227.61
663,Bldg-116644,Denver,227.66
466,Bldg-115558,Atlanta,227.7
463,Bldg-115552,Atlanta,227.7
626,Bldg-116576,Dallas,227.7
631,Bldg-116586,Dallas,227.7
595,Bldg-116525,Dallas,227.7
125,Bldg-038255,Atlanta,227.7
580,Bldg-116496,Dallas,227.7
219,Bldg-061775,Atlanta,227.7
480,Bldg-115580,Atlanta,227.7
485,Bldg-115587,Atlanta,227.7
642,Bldg-116606,Denver,227.84
654,Bldg-116628,Denver,227.84
693,Bldg-116707,Denver,227.84
659,Bldg-116636,Denver,227.84
683,Bldg-116682,Denver,227.84
636,Bldg-116594,Denver,228.21
670,Bldg-116654,Denver,228.21
564,Bldg-116464,Dallas,228.43
612,Bldg-116552,Dallas,228.43
396,Bldg-109809,Dallas,228.43
529,Bldg-115669,Atlanta,228.43
597,Bldg-116528,Dallas,228.43
549,Bldg-116432,Dallas,228.43
548,Bldg-116430,Dallas,228.43
599,Bldg-116530,Dallas,228.43
630,Bldg-116584,Dallas,229.81
890,Bldg-137135,Dallas,236.37
889,Bldg-137134,Dallas,236.37
723,Bldg-117816,Dallas,236.37
888,Bldg-137132,Dallas,236.37
884,Bldg-135273,Dallas,236.37
892,Bldg-137142,Dallas,236.37
578,Bldg-116493,Dallas,238.41
148,Bldg-047559,Atlanta,239.12
1074,Bldg-143084,Atlanta,241.51
744,Bldg-118393,Dallas,248.83
798,Bldg-122519,Dallas,255.47
553,Bldg-116447,Dallas,256.11
490,Bldg-115593,Atlanta,256.26
533,Bldg-115676,Atlanta,257.28
489,Bldg-115591,Atlanta,257.28
539,Bldg-115691,Atlanta,258.28
885,Bldg-135464,Atlanta,258.28
510,Bldg-115628,Atlanta,258.44
516,Bldg-115644,Atlanta,259.08
660,Bldg-116637,Denver,260.06
299,Bldg-081987,Atlanta,260.32
525,Bldg-115662,Atlanta,260.36
639,Bldg-116601,Denver,261.01
622,Bldg-116570,Dallas,261.09000000000003
893,Bldg-137319,Atlanta,261.85
160,Bldg-054678,Atlanta,263.15
351,Bldg-103564,Atlanta,265.11
1063,Bldg-143072,Atlanta,273.71
649,Bldg-116619,Denver,278.15000000000003
1057,Bldg-143064,Atlanta,278.46
173,Bldg-057703,Denver,278.54
436,Bldg-112170,Denver,282.02
399,Bldg-109816,Dallas,283.75
1054,Bldg-143060,Atlanta,291.27
1086,Bldg-143106,Atlanta,292.74
1420,Bldg-475579,Atlanta,293.5
687,Bldg-116691,Denver,299.95
403,Bldg-110175,Denver,305.4
174,Bldg-058537,Atlanta,311.51
267,Bldg-075466,Atlanta,312.6
1062,Bldg-143071,Atlanta,314.69
375,Bldg-109147,Dallas,316.36
228,Bldg-061943,Atlanta,321.73
764,Bldg-119282,Dallas,322.7
821,Bldg-126519,Denver,322.7
1269,Bldg-231978,Denver,323.64
1268,Bldg-231976,Denver,325.44
1394,Bldg-427584,Atlanta,330.38
722,Bldg-117716,Dallas,331.92
139,Bldg-038294,Atlanta,335.76
1390,Bldg-409725,Atlanta,337.3
379,Bldg-109226,Atlanta,346.9
325,Bldg-090628,Atlanta,349.9
526,Bldg-115663,Atlanta,351.66
225,Bldg-061846,Atlanta,353.57
728,Bldg-117872,Dallas,354.23
523,Bldg-115656,Atlanta,354.87
222,Bldg-061804,Atlanta,355.36
1405,Bldg-440407,Atlanta,367.36
1259,Bldg-231953,Denver,375.01
1447,Bldg-489651,Atlanta,380.99
816,Bldg-125013,Dallas,382.81
811,Bldg-124988,Dallas,382.81
312,Bldg-087927,Atlanta,401.46
191,Bldg-060244,Atlanta,404.27
187,Bldg-059052,Denver,405.17
447,Bldg-114343,Denver,405.61
1058,Bldg-143067,Atlanta,406.91
72,Bldg-038081,Atlanta,411.52
372,Bldg-109081,Atlanta,413.3
427,Bldg-111520,Dallas,417.35
1106,Bldg-148057,Denver,436.29
1227,Bldg-156330,Dallas,437.95
1381,Bldg-390885,Atlanta,438.72
1389,Bldg-409718,Atlanta,438.82
1094,Bldg-147019,Atlanta,438.96
504,Bldg-115618,Atlanta,445.05
339,Bldg-094440,Atlanta,445.05
419,Bldg-111226,Atlanta,446.88
902,Bldg-138308,Dallas,447.2
576,Bldg-116491,Dallas,447.28
591,Bldg-116517,Dallas,448.22
666,Bldg-116650,Denver,448.82
457,Bldg-115334,Denver,448.92
673,Bldg-116659,Denver,449.02
668,Bldg-116652,Denver,449.03
616,Bldg-116560,Dallas,449.13
674,Bldg-116670,Denver,449.18
672,Bldg-116656,Denver,449.24
602,Bldg-116539,Dallas,449.24
634,Bldg-116592,Denver,449.24
295,Bldg-081157,Denver,449.24
705,Bldg-116739,Denver,449.42
656,Bldg-116630,Denver,449.44
853,Bldg-132285,Denver,449.66
546,Bldg-116428,Dallas,449.95
603,Bldg-116540,Dallas,450.03
678,Bldg-116676,Denver,450.21
851,Bldg-132280,Denver,450.24
301,Bldg-082114,Denver,450.39
608,Bldg-116546,Dallas,450.4500000000001
557,Bldg-116455,Dallas,450.62
391,Bldg-109476,Atlanta,451.04
368,Bldg-108979,Denver,451.18
682,Bldg-116681,Denver,451.18
681,Bldg-116680,Denver,451.18
677,Bldg-116675,Denver,451.18
708,Bldg-116745,Denver,451.54
153,Bldg-052821,Atlanta,451.7000000000001
341,Bldg-094711,Dallas,452.0
598,Bldg-116529,Dallas,452.02
473,Bldg-115569,Atlanta,452.21
482,Bldg-115583,Atlanta,452.32
390,Bldg-109254,Denver,452.51
515,Bldg-115643,Atlanta,452.84
638,Bldg-116600,Denver,452.92
611,Bldg-116551,Dallas,452.94
615,Bldg-116557,Dallas,453.14
675,Bldg-116671,Denver,453.43
696,Bldg-116713,Denver,453.78
698,Bldg-116715,Denver,453.78
614,Bldg-116554,Dallas,454.05
624,Bldg-116573,Dallas,455.4
313,Bldg-088480,Denver,455.68
794,Bldg-122186,Dallas,455.89
502,Bldg-115616,Atlanta,456.86
589,Bldg-116514,Dallas,458.07
202,Bldg-060314,Atlanta,459.59
199,Bldg-060287,Atlanta,459.97
699,Bldg-116718,Denver,460.22
733,Bldg-118232,Dallas,461.0
1093,Bldg-146958,Dallas,461.0
550,Bldg-116435,Dallas,461.0
507,Bldg-115623,Atlanta,461.13
537,Bldg-115689,Atlanta,462.82
713,Bldg-116755,Denver,463.89
577,Bldg-116492,Dallas,466.11
1383,Bldg-390889,Atlanta,466.19
1096,Bldg-147400,Denver,467.4
1089,Bldg-144495,Atlanta,468.51
420,Bldg-111239,Dallas,468.87
1071,Bldg-143081,Atlanta,469.85
900,Bldg-138033,Dallas,471.55
891,Bldg-137136,Dallas,471.55
1382,Bldg-390887,Atlanta,472.39
724,Bldg-117817,Dallas,472.74
1409,Bldg-456760,Atlanta,475.77
464,Bldg-115554,Atlanta,477.70999999999987
877,Bldg-132675,Dallas,489.12
771,Bldg-120254,Dallas,492.72
817,Bldg-125063,Dallas,497.66
146,Bldg-039840,Atlanta,497.88
721,Bldg-117690,Atlanta,497.88
1065,Bldg-143074,Atlanta,499.12
135,Bldg-038280,Atlanta,501.27
1265,Bldg-231968,Denver,501.98
471,Bldg-115565,Atlanta,506.36
118,Bldg-038241,Atlanta,506.58
96,Bldg-038148,Atlanta,507.25
646,Bldg-116615,Denver,507.8
748,Bldg-118498,Dallas,507.88
559,Bldg-116457,Dallas,508.46
80,Bldg-038091,Atlanta,523.27
105,Bldg-038185,Atlanta,526.01
1399,Bldg-430364,Atlanta,526.49
1048,Bldg-141653,Denver,528.23
133,Bldg-038276,Atlanta,532.01
1326,Bldg-384848,Atlanta,534.99
662,Bldg-116642,Denver,543.8
1330,Bldg-384855,Atlanta,544.6
328,Bldg-090796,Atlanta,544.6
329,Bldg-090808,Atlanta,544.6
331,Bldg-090979,Atlanta,544.6
332,Bldg-090990,Atlanta,544.6
412,Bldg-110630,Atlanta,544.6
335,Bldg-092817,Atlanta,544.6
277,Bldg-075724,Atlanta,544.6
275,Bldg-075720,Atlanta,544.6
720,Bldg-117687,Atlanta,544.6
826,Bldg-127208,Atlanta,544.6
274,Bldg-075717,Atlanta,544.6
542,Bldg-115765,Atlanta,544.6
519,Bldg-115650,Atlanta,544.6
1300,Bldg-384565,Atlanta,544.6
272,Bldg-075714,Atlanta,544.6
354,Bldg-104916,Atlanta,544.6
1286,Bldg-344536,Atlanta,544.6
271,Bldg-075706,Atlanta,544.6
270,Bldg-075515,Atlanta,544.6
269,Bldg-075513,Atlanta,544.6
1284,Bldg-336114,Atlanta,544.6
249,Bldg-068815,Atlanta,544.6
1282,Bldg-328562,Atlanta,544.6
254,Bldg-069031,Atlanta,544.6
273,Bldg-075715,Atlanta,544.6
1315,Bldg-384652,Atlanta,544.6
1314,Bldg-384651,Atlanta,544.6
1251,Bldg-183217,Atlanta,544.6
